epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
<<<<<<< HEAD
0,0.7316034436225891,0.8053650856018066,9.999999747378752e-05,1.828853726387024,0.7296260595321655,0.7359089851379395,0.8404159545898438,0.9507707357406616,1.6150259971618652,0.6670655012130737,0.944915235042572
1,0.8094031810760498,0.8889329433441162,9.999999747378752e-05,1.623188853263855,0.8080132007598877,0.8116596341133118,0.8821414709091187,0.9659826755523682,1.4634555578231812,0.7373272180557251,0.9491525292396545
2,0.8393120169639587,0.9147551655769348,9.999999747378752e-05,1.4787330627441406,0.838859498500824,0.8399797677993774,0.8978046178817749,0.9726011753082275,1.3292006254196167,0.769655168056488,0.9457626938819885
3,0.8528504371643066,0.9267286658287048,9.999999747378752e-05,1.3415369987487793,0.852834165096283,0.8528734445571899,0.9144948124885559,0.9780694842338562,1.1879128217697144,0.8068840503692627,0.9436440467834473
4,0.8710398077964783,0.9409686326980591,9.999999747378752e-05,1.1926954984664917,0.8709885478019714,0.871108889579773,0.9205289483070374,0.9831492900848389,1.0508291721343994,0.8143734335899353,0.9555084705352783
5,0.8796970248222351,0.947604238986969,9.999999747378752e-05,1.0566484928131104,0.8803099393844604,0.878891110420227,0.9323405027389526,0.9869258999824524,0.9206328392028809,0.8355913758277893,0.9669491648674011
6,0.8921071887016296,0.955864429473877,9.999999747378752e-05,0.9257950186729431,0.8928307890892029,0.8911862373352051,0.9399152398109436,0.9882575273513794,0.7942704558372498,0.8624520897865295,0.9538135528564453
7,0.897310733795166,0.9596110582351685,9.999999747378752e-05,0.8182997703552246,0.8978603482246399,0.896619975566864,0.9514700174331665,0.9914669990539551,0.6879082918167114,0.8871093988418579,0.9622881412506104
8,0.9077869057655334,0.9657791256904602,9.999999747378752e-05,0.7216615676879883,0.9063460826873779,0.9095597863197327,0.9562203288078308,0.9935742616653442,0.6065211296081543,0.8884186148643494,0.9783898591995239
9,0.9117470979690552,0.9685506224632263,9.999999747378752e-05,0.6492814421653748,0.9109711647033691,0.9126911163330078,0.9614841341972351,0.9937515258789062,0.5432891845703125,0.9058313369750977,0.9741525650024414
10,0.9150626063346863,0.970561683177948,9.999999747378752e-05,0.5932925939559937,0.9146997928619385,0.9155001044273376,0.9640518426895142,0.9948629140853882,0.494895875453949,0.9088050127029419,0.9796609878540039
11,0.9181479215621948,0.9729959964752197,9.999999747378752e-05,0.5478411912918091,0.9169766306877136,0.9195523858070374,0.9657208919525146,0.9953624606132507,0.4554900825023651,0.9141274094581604,0.9788135886192322
12,0.9228679537773132,0.9747520685195923,9.999999747378752e-05,0.5125970244407654,0.9208138585090637,0.9253085255622864,0.9714982509613037,0.9965708255767822,0.42258232831954956,0.9272581934928894,0.9830508232116699
13,0.9239730834960938,0.9746781587600708,9.999999747378752e-05,0.4877912700176239,0.9228049516677856,0.9253545999526978,0.9670047760009766,0.9966918230056763,0.4053463935852051,0.9099414944648743,0.9889830350875854
14,0.9293608665466309,0.9778561592102051,9.999999747378752e-05,0.46065473556518555,0.9279419779777527,0.931018590927124,0.9661060571670532,0.9966238141059875,0.38744670152664185,0.9087363481521606,0.9872881174087524
=======
0,0.7813133001327515,0.8606603145599365,9.999999747378752e-05,1.714992642402649,0.7830075025558472,0.7783201336860657,0.8912569284439087,0.958499550819397,1.5036040544509888,0.7776146531105042,0.8978813290596008
1,0.8278228044509888,0.9046505093574524,9.999999747378752e-05,1.5465375185012817,0.830931544303894,0.8231257796287537,0.9060212969779968,0.9701020121574402,1.372202754020691,0.79948490858078,0.9207627177238464
2,0.8504328727722168,0.9228920936584473,9.999999747378752e-05,1.3995773792266846,0.8521843552589417,0.8479462265968323,0.9121838212013245,0.9752798080444336,1.2376567125320435,0.8096821904182434,0.928389847278595
3,0.8681386709213257,0.9388328194618225,9.999999747378752e-05,1.245687484741211,0.8715779781341553,0.86351078748703,0.9252792596817017,0.9801797866821289,1.0936287641525269,0.8395721912384033,0.9313559532165527
4,0.8784997463226318,0.9447858929634094,9.999999747378752e-05,1.106287956237793,0.8800925016403198,0.8764045238494873,0.9352933764457703,0.9839771389961243,0.9567687511444092,0.8539283275604248,0.9487287998199463
5,0.887479305267334,0.9529070258140564,9.999999747378752e-05,0.9692304730415344,0.8877471089363098,0.8871338963508606,0.9395301342010498,0.9872231483459473,0.8336535096168518,0.8622938394546509,0.9525423645973206
6,0.8947550058364868,0.9587241411209106,9.999999747378752e-05,0.8508997559547424,0.8948459029197693,0.8946399092674255,0.9451791048049927,0.9903353452682495,0.7235063314437866,0.870164692401886,0.9627118706703186
7,0.9035733938217163,0.963254988193512,9.999999747378752e-05,0.7516268491744995,0.9045047760009766,0.9024221897125244,0.9566054940223694,0.9922089576721191,0.6301364898681641,0.900237500667572,0.9635593295097351
8,0.9100202322006226,0.9672021269798279,9.999999747378752e-05,0.6710483431816101,0.9091911911964417,0.9110333323478699,0.9545512795448303,0.9932225346565247,0.5640100836753845,0.8896659016609192,0.9703390002250671
